Municipality or First Nation,Store Name,Address,Store Application Status
CAYUGA,Capturing Eden,11B CAYUGA STREET N,Authorized to Open
CAYUGA,Forty3Eighty Cannabis Co.,"5 TALBOT STREET EAST, UNIT 1",Authorized to Open
CHATHAM,Bud Bank,445 RICHMOND ST,Authorized to Open
CHATHAM,Discounted Cannabis,122 RICHMOND ST UNIT 2,Authorized to Open
CHATHAM,Discounted Cannabis,229 ST CLAIR ST,Authorized to Open
CHATHAM,Discounted Cannabis,122 RICHMOND ST UNIT 2,Authorized to Open
CHATHAM,FIRE & FLOWER CANNABIS CO.,877 ST CLAIR ST UNIT D8,Authorized to Open
CHATHAM,PLUTO PLANTS,598 QUEEN ST,Authorized to Open
CHATHAM,PLUTO PLANTS,598 QUEEN ST,In Progress
CHATHAM,Taste Buds Cannabis,188 PARK ST,Authorized to Open
CHATHAM,The We Store,427 ST CLAIR ST UNIT 5A,Authorized to Open
CHATHAM,True North Cannabis Co.,85 KING ST W,Authorized to Open
CHATHAM,True North Cannabis Co. ,170 MCNAUGHTON AVE W UNIT 9,Authorized to Open
CHATHAM,WILLY'S CANNABIS SUPPLY CO.,143 KING ST W,Authorized to Open
CHELMSFORD,HAPPY LIFE,3702 HIGHWAY 144 UNIT 2,Authorized to Open
CHELMSFORD,HIGHLIFE CANNABIS CHELMSFORD,3454 ERRINGTON AVE,Authorized to Open
CHESLEY,VIP Cannabis Co,35 1ST AVENUE S,Authorized to Open
CHESTERVILLE,Olympia Cannabis Chesterville (OC Chesterville),3 KING ST,Authorized to Open
CLINTON,Clinton Cannabis,16 KING STREET,Authorized to Open
COBALT,The Olde Barber Cannabis Co.,33 SILVER ST.,Authorized to Open
COBDEN,A High Class Joint,10 PEMBROKE STREET,Public Notice Period: Ended 2023/10/12
COBOCONK,EIGHTH CANNABIS,6694 HWY 35 NORTH UNIT 3,Authorized to Open
COBOCONK,Spark Cannabis ,6666 ON-35,Authorized to Open
COBOURG,CIRCA 1818,8 STRATHY RD UNIT 3,Authorized to Open
COBOURG,Inspired Cannabis Co,1111 ELGIN ST W UNIT F,Authorized to Open
COBOURG,Mary J's Cannabis Cobourg,38 KING ST W,Authorized to Open
COBOURG,The Peace Pipe ,1 KING ST E UNIT 1A,Authorized to Open
COBOURG,Your Local Cannabis,2 KING ST E,Authorized to Open
COCHRANE,High Society Cannabis Co,86 SIXTH AVE,Authorized to Open
COCHRANE,T CANNABIS NW - Cochrane,143 FOURTH ST W,Authorized to Open
COLBORNE,Speakeasy Cannabis Colborne,33 KING ST E,Authorized to Open
COLLINGWOOD,BEST BUDS FOREVER,191 HURONTARIO ST SUITE 1,Authorized to Open
COLLINGWOOD,Pop's Cannabis Co.,151 FIRST ST UNIT 102,Public Notice Period: Ended 2023/09/01
COLLINGWOOD,Sessions Cannabis Collingwood,312 HURONTARIO ST,Authorized to Open
COLLINGWOOD,Spiritleaf 10 Balsam Street,10 BALSAM ST UNIT 3,Authorized to Open
COLLINGWOOD,Stash and Co.,99 BALSAM ST UNIT J2A,Authorized to Open
COLLINGWOOD,Tokyo Smoke Collingwood,510 FIRST ST,Authorized to Open
COLLINGWOOD,TREETZ,280 FIRST ST,Authorized to Open
COLLINGWOOD,Value Buds,70 FIRST ST,Public Notice Period: Ended 2023/09/06
COMBERMERE,Bent Bud,39268 COMBERMERE ROAD,Authorized to Open
COOKSTOWN,Bananas,25 QUEEN ST,Public Notice Period: Ended 2022/05/18
COOKSTOWN,Spark Cannabis ,12 QUEEN ST,Authorized to Open
COOKSTOWN,The Canadian Cannabis Store ,31 KING ST N,Authorized to Open
CORNWALL,CANNA CABANA,960 BROOKDALE AVE UNIT 8,Authorized to Open
CORNWALL,Groove Cannabis Co. Inc.,1380 SECOND ST E UNIT 26,Authorized to Open
CORNWALL,Moonlight Cannabis,6227 BOUNDARY RD,In Progress
CORNWALL,ONE PLANT,1232 BROOKDALE AVE UNIT B,Authorized to Open
CORNWALL,Pot of Gold,44 PITT ST SUITE A,Authorized to Open
CORNWALL,SHINYBUD CANNABIS CO. 17305 CORNWALL CENTER ,17305 CORNWALL CENTRE RD UNIT 3,Authorized to Open
CORNWALL,SHINYBUD CANNABIS CO. 410 MONTREAL,410 MONTREAL RD,Authorized to Open
CORNWALL,SHINYBUD CANNABIS CO. 621 PITT,621 PITT ST,Authorized to Open
CORNWALL,The Oz Store,135 MONTREAL RD,Authorized to Open
CORNWALL,Tokyo Smoke - Cornwall,61 NINTH ST E UNIT 3,Authorized to Open
CORNWALL,True North Cannabis Co. ,25 SECOND ST E,Authorized to Open
COURTICE,Northern Helm,"1414 KING ST E., UNIT 32",Authorized to Open
COURTICE,Pop's Cannabis Co. Courtice ,1635 HWY 2 UNIT 102,Authorized to Open
COURTICE,The Happy Cannasseur,1413 KING ST E UNIT 5,Authorized to Open
CRYSTAL BEACH,VILLAGE CANNABIS CO.,"264 RIDGEWAY ROAD, UNIT 2",Authorized to Open
DEEP RIVER,BUDSSMOKE,27 CHAMPLAIN ST.,Public Notice Period: Ended 2023/11/09
DEEP RIVER,Deep River Cannabis,33155 HIGHWAY 17 EAST,Authorized to Open
DELHI,CANNABIS XPRESS,158 MAIN STREET OF DELHI,Authorized to Open
DELHI,Highlife Delhi,289 JAMES ST UNIT 2,In Progress
DORCHESTER,Tree Tops Cannabis Co.,4063 HAMILTON RD SUITE B,Authorized to Open
DORSET,Groovy's Dorset,1059 MAIN STREET UNIT 1,Public Notice Period: Ended 2023/10/14
DRYDEN,COST CANNABIS,439 GOVERNMENT ST UNIT 5,Authorized to Open
DRYDEN,Ideal Buds,27 KING ST,Authorized to Open
DRYDEN,TOKE HOUSE,539 GOVERNMENT ST UNIT 16,Authorized to Open
DUNDAS,Friendly Stranger ,112-101 OSLER DR,Authorized to Open
DUNDAS,Green King Cannabis,236 GOVERNORS RD,Authorized to Open
DUNNVILLE,Grand Cannabis,217 BROAD ST E UNIT 2C,Authorized to Open
DURHAM,Cannabis Grey Bruce,123 GARAFRAXA ST S,Authorized to Open
DUTTON,Yolo Cannabis,168 CURRIE RD,Public Notice Period: Ended 2023/11/08
EAST YORK,Alphabud Cannabis Company,1186 WOODBINE AVE,Authorized to Open
EAST YORK,Canna Cabana East York,1723 BAYVIEW AVE UNIT A1,Authorized to Open
EAST YORK,Growers Retail,1021 PAPE AVE,Authorized to Open
EAST YORK,HEMISPHERE CANNABIS CO.,1669 BAYVIEW AVE,Authorized to Open
EAST YORK,Mind Flower Cannabis Company,1491 BAYVIEW AVE,Authorized to Open
EAST YORK,MIRAGE CANNABIS,1229 BROADVIEW AVE,Authorized to Open
EAST YORK,NATURE’S CANOPY HOUSE,1359 WOODBINE AVE,Authorized to Open
EAST YORK,NULEEF CANNABIS,86 LAIRD DR,Authorized to Open
EAST YORK,Sensations Cannabis,1391 O'CONNOR DR,Authorized to Open
EAST YORK,The Happy Spliff,856 EGLINTON AVE E UNIT A,Authorized to Open
EAST YORK,The Neighbourhood Joint (East York),1064 COXWELL AVE,Authorized to Open
EAST YORK,TOKYO SMOKE,1031 PAPE AVE,Authorized to Open
EAST YORK,Tokyo Smoke 3003 Danforth,3003 DANFORTH AVE UNIT 29,Authorized to Open
EAST YORK,WEEDJAR,1127B BROADVIEW AVE,Authorized to Open
ELGIN,Cannabis Fields Inc.,14 MAIN ST UNIT B,Authorized to Open
ELLIOT LAKE,Miss Jones,40 HILLSIDE DR S UNIT 3,Authorized to Open
ELLIOT LAKE,Sessions Cannabis Elliot Lake,26 PRINCE EDWARD WALK,Authorized to Open
ELMIRA,One Plant,315 ARTHUR ST S UNIT 105,Authorized to Open
ELMIRA,VIP Cannabis Company,33 ARTHUR ST S,Authorized to Open
ELMVALE,Bigfoot's Cannabis Inc.,2 QUEEN ST W UNIT 3,Authorized to Open
ELMVALE,ShinyBud Cannabis Co. Elmvale,29A QUEEN ST W,Authorized to Open
EMBRUN,C-Shop,753 NOTRE DAME ST,Authorized to Open
EMBRUN,Highties Cannabis Store,1044 ST. GUILLAUME RD UNIT A102,Authorized to Open
EMBRUN,HIGHTIES CANNABIS STORE,825 NOTRE DAME ST,Authorized to Open
EMBRUN,ShinyBud Cannabis Co. Embrun,649 NOTRE DAME ST UNIT 108,Authorized to Open
EMSDALE,Pure Plant Cannabis,12 HWY 518 EAST UNIT C,Authorized to Open
ERIN,Consumers Cannabis,92 TRAFALGAR RD,Authorized to Open
ERIN,Green Grove,2 THOMPSON CRES UNIT 6 SS 1,Authorized to Open
ERIN,Spot420 The Cannabis Store,76 MAIN STREET,Authorized to Open
ESPANOLA,Happy Life,387 CENTRE ST,Authorized to Open
ESPANOLA,HIGHLIFE CANNABIS ESPANOLA,800 CENTRE ST,Authorized to Open
ESPANOLA,SWEET SEVEN CANNABIS CO.,721 CENTRE ST UNIT 1,Authorized to Open
ESSEX,DISCOUNTED CANNABIS,4 TALBOT ST N ,Authorized to Open
ESSEX,TBD,169 TALBOT ST S SUITE 4,Authorized to Open
ESSEX,Tony’s Joint ,20 TALBOT ST S UNIT 5,Authorized to Open
ETOBICOKE,416CANNABIS,419 ATTWELL DR,Public Notice Period: Ended 2023/08/07
ETOBICOKE,420 Love 3259 Lakeshore Boulevard West,3259 LAKE SHORE BLVD W,Public Notice Period: Ended 2021/02/20
ETOBICOKE,ABOVE THE CLOUDS CANNABIS,1126 THE QUEENSWAY UNIT 1 AND 2,Authorized to Open
ETOBICOKE,Ace of Spades Weed Limited,2135 LAKE SHORE BLVD W,Authorized to Open
ETOBICOKE,Buds House,38A REXDALE BLVD UNIT 2,Authorized to Open
ETOBICOKE,Caliwood,3351 LAKE SHORE BLVD W,Authorized to Open
ETOBICOKE,Cannabis 151,188 THE QUEENSWAY,Authorized to Open
ETOBICOKE,Consumers Cannabis,4864 DUNDAS ST W,Authorized to Open
ETOBICOKE,COSMIC GARDENS,6620 FINCH AVE W UNIT 16 & 17,Authorized to Open
ETOBICOKE,COST CANNABIS,1123 ALBION RD UNIT 3,Authorized to Open
ETOBICOKE,Em Jay's,5160 DUNDAS ST W,Authorized to Open
ETOBICOKE,FIKA LOCAL CANNABIS,171 NORTH QUEEN ST UNIT G4A,Authorized to Open
ETOBICOKE,Fire & Flower Cannabis Co.,764 THE QUEENSWAY,Authorized to Open
ETOBICOKE,Giggle Leaf Rexdale,110 REXDALE BLVD UNIT 1,Public Notice Period: Ended 2021/05/11
ETOBICOKE,Gram Station,2 WENDOVER RD,Authorized to Open
ETOBICOKE,GreenGo Cannabis,3755 LAKE SHORE BLVD W,Public Notice Period: Ended 2020/04/15
ETOBICOKE,Growers Retail,970 THE QUEENSWAY,Authorized to Open
ETOBICOKE,HERB N BUD,3759 LAKE SHORE BLVD W,Authorized to Open
ETOBICOKE,Jackpot Cannabis ,2348 LAKE SHORE BLVD W,Authorized to Open
ETOBICOKE,KUSH KORNER CANNABIS,2807 LAKE SHORE BLVD W,Authorized to Open
ETOBICOKE,Lakeview Cannabis,4 MIMICO AVE,Authorized to Open
ETOBICOKE,MA CANNABIS,3373 BLOOR ST W,Authorized to Open
ETOBICOKE,MaryJane's Cannabis,418 THE WESTWAY,Authorized to Open
ETOBICOKE,Mind Yo Budnizz,1340 THE QUEENSWAY UNIT 1,Authorized to Open
ETOBICOKE,MOONROCK CANNABIS,2324 LAKE SHORE BLVD W UNIT 3,Authorized to Open
ETOBICOKE,Olli Brands,130 NORTH QUEEN ST SUITE 5,Public Notice Period: Ended 2021/11/23
ETOBICOKE,PLUTO PLANTS,62 MARINE PARADE DR UNIT 4,Authorized to Open
ETOBICOKE,Purple Pineapple Cannabis Co,25 WOODBINE DOWNS BLVD UNIT 8,Authorized to Open
ETOBICOKE,RESERVED CANNABIS,944 THE QUEENSWAY,Authorized to Open
ETOBICOKE,Royal Cannabis Supply Company,105 CLAIREPORT CRES,Authorized to Open
ETOBICOKE,Runway Pot,936 DIXON RD UNIT B,Authorized to Open
ETOBICOKE,Sativa Bliss Cannabis Boutique,2291 KIPLING AVE UNIT 102,Authorized to Open
ETOBICOKE,SESSIONS CANNABIS - ETOBICOKE ALBION CENTRE,1530 ALBION RD UNIT 100B,Authorized to Open
ETOBICOKE,Spiritleaf,900 ALBION RD UNIT C24/C25,Authorized to Open
ETOBICOKE,Spiritleaf,1750 THE QUEENSWAY UNIT 5,Authorized to Open
ETOBICOKE,SPOT420,340 BROWNS LINE,Authorized to Open
ETOBICOKE,Spot420 The Cannabis Store,354 ROYAL YORK RD,In Progress
ETOBICOKE,STICKY NUGGZ (STEELES W),1 STEINWAY BLVD UNIT 10,Authorized to Open
ETOBICOKE,Terps & Rec Cannabis,127 WESTMORE DR UNIT 106,Authorized to Open
ETOBICOKE,THE GREEN CLOUD CANNABIS,557 DIXON RD SUITE 132,Authorized to Open
ETOBICOKE,The Underground HC,3264 LAKE SHORE BLVD W,Authorized to Open
ETOBICOKE,Tokyo Smoke,164 EVANS AVE UNIT 1,Authorized to Open
ETOBICOKE,Tokyo Smoke Sherway,25 THE WEST MALL UNIT 1723,Authorized to Open
ETOBICOKE,TREES CANNABIS,3812A BLOOR ST W,Authorized to Open
ETOBICOKE,TREES CANNABIS,5485 DUNDAS ST W,Authorized to Open
ETOBICOKE,TREES CANNABIS,680 REXDALE BLVD UNIT 5,Authorized to Open
ETOBICOKE,Weed Academy,1192 THE QUEENSWAY,Public Notice Period: Ended 2020/09/30
EXETER,Cannabis County,378 MAIN STREET SOUTH,In Progress
EXETER,Chill Cannabis,8A WELLINGTON ST W SS 2,Authorized to Open
EXETER,Nuclear Lettuce,441 MAIN ST S,Authorized to Open
FENELON FALLS,EIGHTH CANNABIS,14 FRANCIS ST E UNIT 4,Authorized to Open
FENELON FALLS,High Supply Cannabis Co,21 FRANCIS STREET WEST,Authorized to Open
FENELON FALLS,Rustic Cannabis Corp.,"44 COLBORNE STREET, UNIT 5",Authorized to Open
FONTHILL,Grand Cannabis,1811 MERRITTVILLE HWY UNIT B,Authorized to Open
FOREST,Rose Gold Cannabis,50 KING ST W SUITE 1,Authorized to Open
FORT ERIE,Canna Cabana ,450 GARRISON RD UNIT 100,Authorized to Open
FORT ERIE,Cannabis Supply Co.,111 NIAGARA BLVD UNIT 3,Authorized to Open
FORT ERIE,Garden City Cannabis Co,310 GARRISON RD UNIT E-02,Authorized to Open
FORT ERIE,PARADISE CANNABIS,427 GARRISON RD UNIT 101,Authorized to Open
FORT ERIE,True North Cannabis Co. ,201 JARVIS ST,Authorized to Open
FORT FRANCES,Borderland Cannabis,401B MOWAT AVE,Authorized to Open
FORT FRANCES,T CANNABIS ,130 SECOND ST E UNIT 2,Authorized to Open
GANANOQUE,CANNABIS BAZAAR,210 KING ST E UNIT B,Authorized to Open
GANANOQUE,Shinybud Cannabis Co. Gananoque,191 KING ST E,Authorized to Open
GARSON,Dab Cannabis,3481 FALCONBRIDGE HWY UNIT 1,Authorized to Open
GEORGETOWN,BODEGA BOYZ,68-78 MAIN ST N UNIT 2 & 3,Authorized to Open
GEORGETOWN,CANNACO THE CANNABIS COMPANY,28 MAIN ST S,Authorized to Open
GEORGETOWN,Dab Cannabis,378 MOUNTAINVIEW RD S UNIT 10,Public Notice Period: Ended 2021/08/27
GEORGETOWN,Fire & Flower Cannabis Co.,333 MOUNTAINVIEW RD S UNIT 7 & 8,Authorized to Open
GEORGETOWN,Grand Cannabis,374 GUELPH ST SUITE 2,Authorized to Open
GEORGETOWN,One Plant Georgetown,235 GUELPH ST UNIT 5B,Authorized to Open
GEORGETOWN,SPIRITLEAF - GEORGETOWN,280 GUELPH ST UNIT 025A & 025B,Authorized to Open
GEORGETOWN,Tokyo Smoke,369 MOUNTAINVIEW RD S UNIT BB03,Authorized to Open
GEORGINA,Flowertown Cannabis,20945 DALTON RD UNIT 4,Authorized to Open
GERALDTON,Greenstone Cannabis Shop,506 MAIN ST,Authorized to Open
GERALDTON,High Society Cannabis Co.,403 MAIN ST,Public Notice Period: Ended 2023/08/08
GERALDTON,J. Supply Co. Geraldton,404 MAIN STREET UNIT C,Public Notice Period: Ended 2021/10/23
GILFORD,Levicann,5417 YONGE ST UNIT 1,Authorized to Open
GLENCOE,Cauldron Cannabis ,219 MAIN ST,Authorized to Open
GLOUCESTER,Canna Cabana,1021 CYRVILLE RD UNIT A006,Authorized to Open
GLOUCESTER,Go Green Cannabis Co,1756 MONTREAL RD,Authorized to Open
GLOUCESTER,Highties Cannabis Store,4000 BRIDLE PATH DR,Authorized to Open
GLOUCESTER,Inspired Cannabis,1980 OGILVIE RD UNIT 145,Authorized to Open
GLOUCESTER,Mary J's Cannabis Riverside South,3771 SPRATT RD UNIT 7,Authorized to Open
GLOUCESTER,OUT & ABOUT CANNABIS,665 EARL ARMSTRONG RD UNIT 8,Authorized to Open
GLOUCESTER,PAKALOLO CANNABIS CO.,111 SHUTTLEWORTH DR SUITE 3,Authorized to Open
GLOUCESTER,PAKALOLO CANNABIS CO.,111 SHUTTLEWORTH DR SUITE 3,Authorized to Open
GLOUCESTER,Purple Meadow Cannabis,2059 MEADOWBROOK RD,Authorized to Open
GLOUCESTER,RIDGEBURN,1638 CYRVILLE RD SUITE 6A,Authorized to Open
GLOUCESTER,Wavy,2084 MONTREAL RD,Authorized to Open
GODERICH,Miss Jones,397 BAYFIELD ROAD,Authorized to Open
GODERICH,The Cannabis Guys,46 VICTORIA ST N,Authorized to Open
GODERICH,True North Cannabis Co. ,4 COURTHOUSE SQ,Authorized to Open
GOULAIS RIVER,SESSIONS CANNABIS GOULAIS RIVER,2771 ON-17 UNIT 1,Authorized to Open
GRAND BEND,THE BEND CANNABIS CO.,19 MAIN ST W,Authorized to Open
GRAND BEND,True North Cannabis,31 ONTARIO ST N UNIT 2 & 3,Authorized to Open
GRAND BEND,Uptown Herb,19 MAIN ST W,In Progress
GRAND VALLEY,Cannabis stop Inc ,25 MAIN ST S,Authorized to Open
GRAND VALLEY,Fratelli and Co.,173004 COUNTY RD 25,Authorized to Open
GRAVENHURST,Miss Jones,"150 SHARPE STREET EAST, UNIT 101",Authorized to Open
GRAVENHURST,MUSKOKA CANNABIS GRAVENHURST,351 TALISMAN DR UNIT E01B,Authorized to Open
GRAVENHURST,TRUE NORTH CANNABIS CO.,125 MUSKOKA RD S,Authorized to Open
GREELY,Mary J's Cannabis Greely,6045 BANK ST. UNITS 302 & 303,Authorized to Open
GUELPH,BUD'S CANNABIS STORE,370 STONE RD W UNIT 4B,Authorized to Open
GUELPH,Canja ,83 SURREY ST E,Authorized to Open
GUELPH,Canna Cabana,3 WOODLAWN RD W,Authorized to Open
GUELPH,Canna Cabana,106 SILVERCREEK PKY N UNIT 1,Authorized to Open
GUELPH,Fire & Flower Cannabis Co.,314 STONE RD W,Authorized to Open
GUELPH,HIGHLIFE CANNABIS GUELPH,128 WYNDHAM ST N,Authorized to Open
GUELPH,J. Supply Co. Guelph,1515 GORDON ST UNIT 106,Authorized to Open
GUELPH,Kraft Cannabis Company,666 WOOLWICH ST UNIT 30,Authorized to Open
GUELPH,LEAFTRONICS,130 SILVERCREEK PKY N UNIT 12,Public Notice Period: Ended 2022/04/22
GUELPH,MC CANNABIS,138 COLLEGE AVE W UNIT A,Authorized to Open
GUELPH,Paramount Cannabis,783 WOOLWICH ST,Authorized to Open
GUELPH,Pur Cannabis – Woolwich,739 WOOLWICH ST,Public Notice Period: Ended 2022/05/31
GUELPH,PUR CANNABIS – WYNDHAM N,37A WYNDHAM ST N,Authorized to Open
GUELPH,Reserved Cannabis Guelph,615 SCOTTSDALE DR UNIT 2,Authorized to Open
GUELPH,Ronin Cannabis,86 GORDON ST UNIT C,Authorized to Open
GUELPH,Sativa Bliss Cannabis Boutique,45 WYNDHAM ST N UNIT 103,Authorized to Open
GUELPH,Spiritleaf Guelph,492 EDINBURGH RD S UNIT B2B,Authorized to Open
GUELPH,Teapad Medical Inc. ,465 CLAIR RD W,In Progress
GUELPH,THE CANNABIST SHOP,69 MACDONELL ST,Authorized to Open
GUELPH,THE CANNABIST SHOP - WOODLAWN,51 WOODLAWN RD W SUITE 1,Authorized to Open
GUELPH,The Green Room - Macdonell,89 MACDONELL ST,Public Notice Period: Ended 2021/08/13
GUELPH,THE GREEN ROOM CANNABIS - WYNDHAM N,164 WYNDHAM ST N,Authorized to Open
GUELPH,The Hunny Pot Cannabis Co.,328 SPEEDVALE AVE E UNIT 10,Authorized to Open
GUELPH,The Potery ,115 STARWOOD DR,Authorized to Open
GUELPH,Tokyo Smoke Guelph,35 HARVARD RD UNIT 7A,Authorized to Open
GUELPH,True North Cannabis Co.,715 WELLINGTON ST W SUITE A6,Authorized to Open
GUELPH,True North Cannabis Co. ,951 GORDON ST UNIT 8B,Authorized to Open
GUELPH,Value Buds,73 GORDON ST,Authorized to Open
HAGERSVILLE,The Underground,11 MAIN STREET NORTH UNIT 9,Authorized to Open
HAILEYBURY,King of Queens Cannabis Company,462 FERGUSON AVE,Authorized to Open
HALIBURTON,Capturing Eden,192 HIGHLAND STREET,Authorized to Open
HALIBURTON,GreenLeaf Cannabis,"195 HIGHLAND STREET, FRONT LEVEL UNIT",Public Notice Period: Ended 2021/06/24
HAMILTON,420 Love Main and Gage,976 MAIN ST E,Authorized to Open
HAMILTON,420Love,246-248 KING STREET WEST,Authorized to Open
HAMILTON,AFFX CANNABIS,919 UPPER PARADISE RD UNIT 5,Authorized to Open
HAMILTON,AFFX CANNABIS,263 UPPER CENTENNIAL PKY UNIT 3,Authorized to Open
HAMILTON,Barttowa Tree,1081 BARTON ST E,Authorized to Open
HAMILTON,Bestbudz,1024 UPPER WENTWORTH ST UNIT 7,Authorized to Open
HAMILTON,Black Gold Cannabis & Co ,243 JAMES ST N,Authorized to Open
HAMILTON,Blue Sage Cannabis,835 KING ST E,Authorized to Open
HAMILTON,Bongbaba Cannabis Culture,1685 MAIN ST W SUITE 80,Authorized to Open
HAMILTON,BUD BROTHERS CANNABIS,1568 MAIN ST W,Authorized to Open
HAMILTON,Bud Xpress ,963 KING ST E,Authorized to Open
HAMILTON,CABBAGE BROTHERS,57 COOTES DR,Authorized to Open
HAMILTON,CABBAGE BROTHERS,192 LOCKE ST S,Authorized to Open
HAMILTON,Canna Cabana,905 RYMAL RD E UNIT 110,Authorized to Open
HAMILTON,CANNA CABANA HAMILTON,1317 BARTON STREET EAST UNIT H09,Authorized to Open
HAMILTON,Cannabis Cupboard,410 UPPER SHERMAN AVE,Authorized to Open
HAMILTON,CANNABIS HOUSE CO.,800 BARTON ST E,Authorized to Open
HAMILTON,Cannabis Supply Co.,57 JOHN ST S,Authorized to Open
HAMILTON,Chronicles Cannabis,1575 UPPER OTTAWA ST UNIT 8,Authorized to Open
HAMILTON,CLOUDED,188 LOCKE ST S,Authorized to Open
HAMILTON,COST CANNABIS,32 BARTON ST E,Authorized to Open
HAMILTON,Crafted Nugs Cannabis Co.,237 KING ST E,Authorized to Open
HAMILTON,DA CANNA,281 CANNON ST E,Authorized to Open
HAMILTON,Due North Cannabis Co.,1580 MAIN ST W,Public Notice Period: Ended 2021/06/18
HAMILTON,Giggles Cannabis,163 MAIN ST W,Authorized to Open
HAMILTON,Golden Leaf Cannabis Store,105 GEORGE ST,Public Notice Period: Ended 2020/05/30
HAMILTON,Greenhouse,1216 UPPER WENTWORTH ST,Authorized to Open
HAMILTON,Hamilton Cannabis Co.,525 MOHAWK RD E,Authorized to Open
HAMILTON,Hello Cannabis Main East,1557 MAIN ST E UNIT 2-4,Authorized to Open
HAMILTON,HEMISPHERE CANNABIS CO.,245 KING ST E,Authorized to Open
HAMILTON,In Bloom Cannabis,1831 MAIN ST W UNIT A,Authorized to Open
HAMILTON,INHALE EXHALE CANNABIS,2732 BARTON ST E UNIT 4,Authorized to Open
HAMILTON,James Street Cannabis Co.,574 JAMES ST N UNIT 7,Authorized to Open
HAMILTON,Kindling Cannabis Hamilton,35 PINE ST,Public Notice: Ends on 2023/11/30
HAMILTON,Lady Leaf,372 KING ST E SUITE 101,Authorized to Open
HAMILTON,MC Cannabis ,648 KING ST W UNIT A,Authorized to Open
HAMILTON,Mountain Budz,560 CONCESSION ST.,Authorized to Open
HAMILTON,Mystic's Cannabis,135 KENILWORTH AVE N,Authorized to Open
HAMILTON,Mystic's Cannabis,2141 KING ST E,Authorized to Open
HAMILTON,Mystic's Cannabis,1466B MAIN ST E,Authorized to Open
HAMILTON,NEKU CANNABIS,38 HESS ST S,Authorized to Open
HAMILTON,NEKU CANNABIS,858 UPPER JAMES ST UNIT 1,Public Notice Period: Ended 2023/10/13
HAMILTON,Offside Cannabis,1033 KING ST W,Authorized to Open
HAMILTON,Queen George Cannabis,1104 FENNELL AVE E UNIT 8,Authorized to Open
HAMILTON,QUEEN GEORGE CANNABIS,140 CAROLINE ST S,Authorized to Open
HAMILTON,Queen George Cannabis,640 MOHAWK RD W UNIT 29C,Public Notice: Ends on 2023/12/01
HAMILTON,RELM Cannabis Co.,148 OTTAWA ST N,Public Notice Period: Ended 2020/09/30
HAMILTON,Sessions Cannabis ,712 MOHAWK RD E UNIT 1,Authorized to Open
HAMILTON,Sessions Cannabis - Dundurn,50 DUNDURN ST S UNIT 6,Authorized to Open
HAMILTON,SESSIONS CANNABIS - ROSEDALE,1900 KING ST E,Authorized to Open
HAMILTON,Sessions Cannabis - Rymal,675 RYMAL RD E UNIT B103,Authorized to Open
HAMILTON,Sessions Cannabis Retail,1096 BARTON ST E UNIT 2,Authorized to Open
HAMILTON,SilverLeaf Cannabis,"171 MOHAWK RD E, UNIT 1",Authorized to Open
HAMILTON,Silverleaf Cannabis,736A QUEENSTON RD,Authorized to Open
HAMILTON,Sky Cannabis,675 FENNELL AVE E,Authorized to Open
HAMILTON,Sparkle Cannabis Company,778 CONCESSION ST,Authorized to Open
HAMILTON,Spring cannabis express,692 UPPER JAMES ST UNIT B,Authorized to Open
HAMILTON,SUPERGAS CANNABIS,2255 BARTON ST E SUITE 7,Authorized to Open
HAMILTON,Sweet Releafs Inc.,1660 UPPER JAMES ST UNIT 4,Authorized to Open
HAMILTON,The Grass Hut,1023 KING ST W,Authorized to Open
HAMILTON,The Gym Cannabis,135 JAMES ST N,Authorized to Open
HAMILTON,The Hunny Pot Cannabis Co.,659 UPPER JAMES ST,Authorized to Open
HAMILTON,THE HUNNY POT CANNABIS CO. CENTENNIAL,40 CENTENNIAL PKY N SUITE 5,Authorized to Open
HAMILTON,The Treehouse Cannabis Company,1845 MAIN ST W,Authorized to Open
HAMILTON,TOKE CANNABIS,247 CENTENNIAL PKY N UNIT 2,Authorized to Open
HAMILTON,TOKYO SMOKE,235 JAMES ST N,Authorized to Open
HAMILTON,Tokyo Smoke Fennell,967 FENNELL AVE E UNIT 4,Authorized to Open
HAMILTON,Tokyo Smoke Lime Ridge Mall,999 UPPER WENTWORTH ST UNIT 167,Public Notice Period: Ended 2023/02/03
HAMILTON,True North Cannabis Company,326 OTTAWA ST N,Authorized to Open
HAMILTON,Tÿme Cannabis Co.,1142 BARTON ST E,Authorized to Open
HAMILTON,Value Buds,631 KING ST W,Authorized to Open
HAMILTON,Value Buds,859 BARTON ST E,Authorized to Open
HAMILTON,VAPE CLUB CANNABIS,6 BRUCEDALE AVE W,Authorized to Open
HAMILTON,VILLAGE CANNABIS CO.,275 KING ST E,Authorized to Open
HAMILTON,WE'D,205 QUIGLEY RD SUITE 5,Authorized to Open
HAMILTON ,Cabbage Brothers Cannabis Store,830 UPPER JAMES ST UNIT 3 & 4 ,Authorized to Open
HAMILTON ,ODYSSEY CANNABIS,22 TISDALE ST S. UNIT A ,Authorized to Open
HAMILTON ,WE’D,1070 STONE CHURCH RD E UNIT 37,Authorized to Open
HAMPTON,CANNABIS XPRESS,1648 TAUNTON RD E UNIT 2,Authorized to Open
